,Date,Close,High,Low,Open,Volume
0,2022-11-27,88.00000000,89.13925003,86.66908432,87.34329779,8695047983.19500160
1,2022-11-28,87.65819960,89.00967895,84.94778537,87.76551184,16471146640.39033127
2,2022-11-29,86.92039063,90.11062890,83.60222681,87.90003506,23739410468.66331863
3,2022-11-30,94.19061913,101.62016213,92.94837231,94.41102604,17823568296.59253693
4,2022-12-01,85.51238809,93.33384644,84.74256298,86.32141267,17239977923.95936203
5,2022-12-02,90.57386412,91.45457113,82.16169222,90.20172013,15807289499.50666428
6,2022-12-03,79.40204673,79.89867766,77.96861134,78.73704929,64614587781.78960419
7,2022-12-04,78.16188910,80.85492298,75.11863992,76.50928209,10467320259.37964439
8,2022-12-05,76.77121588,77.10394599,71.84399826,75.14349194,12928413873.21550941
9,2022-12-06,83.74751152,84.95353407,82.87428371,83.79446751,29270041567.96081543
10,2022-12-07,83.67530130,85.09286629,83.31414150,84.72610665,6141968298.89409637
11,2022-12-08,79.82502205,80.84501461,76.63114567,77.28563061,15386962997.91266251
12,2022-12-09,88.74087608,91.89994129,87.49280214,89.24353705,30758451272.72250366
13,2022-12-10,100.47174961,106.36751823,95.94136828,100.66136608,35954262280.93913269
14,2022-12-11,95.28911651,99.53716797,92.64802773,93.58779397,39042854971.90579987
15,2022-12-12,100.51463276,102.48821012,97.31206984,99.87518028,31853594500.28731155
16,2022-12-13,97.11618101,101.52515761,93.70664846,97.05959300,12863737169.46217346
17,2022-12-14,98.34856590,98.85765825,94.28881718,96.62735209,17259177758.56150055
18,2022-12-15,100.32693422,103.58167353,96.31790358,101.58779501,15964663469.29941177
19,2022-12-16,90.95216267,96.37187732,88.62334685,90.15628709,20283341211.41977692
20,2022-12-17,91.41152950,100.68557452,88.80566899,93.17108025,8685548867.33903503
21,2022-12-18,84.24407525,90.46399628,82.06472957,85.05943121,46864422539.69007874
22,2022-12-19,78.07317017,80.63193086,76.57724051,77.78479397,16426350646.64822388
23,2022-12-20,75.37769181,80.39048636,74.46303857,75.77750425,49079618926.54129028
24,2022-12-21,64.70503191,69.99389394,63.42622756,64.15930509,11877129564.65594101
25,2022-12-22,57.75803749,62.18110128,53.09681191,58.48016915,21559927084.84177399
26,2022-12-23,58.80465004,61.12486524,56.54614316,59.90704539,8271319692.34918690
27,2022-12-24,61.80169475,63.99379535,59.87287461,62.47683277,8155421317.82996750
28,2022-12-25,65.99993939,67.96324488,64.23678015,67.70420869,26857188207.69041061
29,2022-12-26,63.69040807,66.03166189,62.20535360,64.13783619,22260390164.12451935
30,2022-12-27,67.21027640,70.55492466,64.25616219,65.92051632,19519002866.05804825
31,2022-12-28,75.84279227,77.90468004,73.13502543,74.18513449,39902496424.58796692
32,2022-12-29,83.05649942,84.70935499,81.66235118,81.68490183,34176359514.91982269
33,2022-12-30,74.66907389,75.58524604,72.12826068,74.24753709,33210180914.22901535
34,2022-12-31,65.27642134,68.88430241,60.99868752,63.42230100,45152290835.74263000
35,2023-01-01,67.33971692,71.87694008,67.29038672,67.32382600,16242284572.37557220
36,2023-01-02,74.11996835,80.90945659,71.46320517,75.53382071,20385972805.90027618
37,2023-01-03,73.99216168,78.20495903,70.27776299,73.39729695,12042369814.91979408
38,2023-01-04,79.63203543,83.04311710,72.49021422,80.04585465,44809771037.74258423
39,2023-01-05,81.15722150,83.15799022,78.13215931,82.08798674,16248094827.64164543
40,2023-01-06,82.57882968,85.81115917,82.38192976,82.70735558,15476269593.62962341
41,2023-01-07,84.49626985,86.16141404,81.48389161,85.25788014,21017949888.43667603
42,2023-01-08,85.95423379,91.60529416,82.81285854,84.28124389,29377585509.77220154
43,2023-01-09,83.20691142,84.72928177,81.32292453,83.49803306,30138297140.07641220
44,2023-01-10,95.92363125,98.63339323,93.87936280,95.56825076,40889656359.46628571
45,2023-01-11,102.97752679,107.95471343,100.53836757,103.86661520,27544458108.47295761
46,2023-01-12,98.65814732,102.80330113,92.51828053,100.23045325,19712427804.00289536
47,2023-01-13,96.52558263,96.88494354,89.57180994,94.57938064,30921886299.53071976
48,2023-01-14,89.09828946,90.00741812,87.40088907,89.31777175,37678502268.20329285
49,2023-01-15,92.46573756,94.49660327,86.38766458,92.42029749,12806959165.83497047
50,2023-01-16,82.85065789,83.39071618,81.18302851,81.86665636,47765718759.62932587
51,2023-01-17,80.76048181,82.62104846,78.78512527,81.18330450,12407983940.39913368
52,2023-01-18,85.55334525,86.45922021,78.47706245,84.37677634,19674305252.98615646
53,2023-01-19,89.33446617,95.98752332,88.37505202,89.79627309,51503180723.67620850
54,2023-01-20,93.37956676,94.62473313,92.82865371,94.59348742,54494942282.11746216
55,2023-01-21,85.27269852,86.04993378,81.94697526,84.15766378,37930180174.14243317
56,2023-01-22,90.45404978,93.52658673,89.29997206,90.81358541,13643864675.62383842
57,2023-01-23,89.53270073,92.64728038,88.05471414,90.89062173,11630216695.50699234
58,2023-01-24,99.15761154,103.20062117,97.70943360,98.42031671,49887786097.52996826
59,2023-01-25,97.07999023,100.97394586,95.76152367,96.91826855,9969648097.59251595
60,2023-01-26,110.49500257,115.68005920,107.85537888,110.55593592,30045995908.40519333
61,2023-01-27,114.09681560,116.07435707,113.43217221,113.53998512,33669432083.43694687
62,2023-01-28,120.87155105,123.31833622,119.59608312,120.90785350,34865227379.78470612
63,2023-01-29,117.28573863,121.95879211,110.82117183,116.14501981,24920573314.62421417
64,2023-01-30,113.68549311,118.33326688,113.05549560,113.23536536,42019228724.61849213
65,2023-01-31,110.36965728,111.44016842,107.35491003,109.59167865,17249195774.61714554
66,2023-02-01,119.22521998,122.87583810,103.16943129,117.71931782,45922606450.56758881
67,2023-02-02,115.19799586,120.40096579,105.28178690,114.72531647,22542647877.65413284
68,2023-02-03,114.18540314,116.04649771,112.21836153,115.59035215,22147043404.16915894
69,2023-02-04,124.95418937,126.17304420,121.42350837,125.21046190,26871989899.94325638
70,2023-02-05,130.74550449,131.97266259,120.06955739,128.60422848,47249480516.12832642
71,2023-02-06,127.80324213,132.85244081,116.96654397,129.23419912,20443718014.28442001
72,2023-02-07,131.04063276,142.42090780,126.92677547,130.48311001,26188159269.82914352
73,2023-02-08,115.79657697,121.05028866,112.03239841,114.58996532,37181420337.03868866
74,2023-02-09,101.38926975,104.73379285,94.93286129,101.60208863,58331740799.76444244
75,2023-02-10,105.33206315,107.76285311,102.30137920,106.67158549,16791806288.01533699
76,2023-02-11,134.22126415,137.16492137,132.27762812,133.55925220,132772659936.70022583
77,2023-02-12,160.19165420,162.39604190,145.62813666,158.56213172,78001003417.08123779
78,2023-02-13,199.94723368,200.98824697,193.18349088,198.49482642,177664439112.43020630
79,2023-02-14,210.22607802,216.86394037,209.04560491,211.39614098,83103100131.18556213
80,2023-02-15,200.69405942,214.00542747,193.84440462,200.95713602,69947870530.49336243
81,2023-02-16,220.46011639,229.81534038,213.78301525,215.64935525,71975148229.47526550
82,2023-02-17,198.44827580,198.82170179,188.77035757,196.04914140,38451883633.58204651
83,2023-02-18,154.28591237,157.45969797,148.14482481,155.82806208,150033893902.51263428
84,2023-02-19,160.14332252,166.24972555,146.70008733,161.85451117,39929998024.94680786
85,2023-02-20,175.38062267,184.06804783,152.20771070,175.09677122,51525882576.66222382
86,2023-02-21,186.59640462,191.63022503,179.55705883,187.98283379,68743520617.75587463
87,2023-02-22,213.85599102,221.84177283,209.22640006,209.84227901,121381413316.10856628
88,2023-02-23,228.74120778,235.33455241,224.57688195,225.34350963,102813341317.08831787
89,2023-02-24,235.80329157,248.47455527,228.74371012,240.52416482,62229094772.52313232
90,2023-02-25,214.90445438,217.77220073,213.54931810,214.58913432,89587610916.53178406
91,2023-02-26,212.45496289,222.01992379,202.09621324,213.50571733,32185224034.86292648
92,2023-02-27,191.46313834,193.08541413,182.54507792,189.63947423,33641440345.04985809
93,2023-02-28,185.33588092,187.97480892,168.23873007,183.72179117,60312383582.65260315
94,2023-03-01,219.10309492,234.61176081,204.18137085,216.91259063,429796500342.34918213
95,2023-03-02,223.17854799,231.62147011,220.68345517,226.38702486,35954125301.98923492
96,2023-03-03,230.68507505,236.78333013,222.83415959,231.98659567,30094734026.96122742
97,2023-03-04,217.00461601,226.30626613,216.19078765,216.91104430,42725147155.55876160
98,2023-03-05,272.84331716,279.41484336,266.26512025,270.38961592,134706222661.77706909
99,2023-03-06,229.13257326,234.51886487,222.19373441,226.98119827,63395918831.23080444
100,2023-03-07,211.17100669,248.61234912,200.31480399,207.76247664,73477960692.90008545
101,2023-03-08,229.48521948,232.92159234,225.10262024,228.24554002,80210344460.15180969
102,2023-03-09,214.80244079,219.13339227,209.54738836,216.03123641,93485567671.34346008
103,2023-03-10,200.28780330,213.00654762,192.42992325,204.38343818,95145922573.65661621
